Date,A_None,A_D0,A_D1,A_D2,A_D3,A_D4,P_None,P_D0,P_D1,P_D2,P_D3,P_D4
2026-03-24,76.24,23.76,0.0,0.0,0.0,0.0,"120,572.78","37,575.10",0.00,0.00,0.00,0.00
2026-03-17,84.32,15.68,0.0,0.0,0.0,0.0,"133,353.15","24,794.72",0.00,0.00,0.00,0.00
2026-03-10,85.84,14.16,0.0,0.0,0.0,0.0,"135,749.95","22,397.92",0.00,0.00,0.00,0.00
2026-03-03,100.0,0.0,0.0,0.0,0.0,0.0,"158,147.87",0.00,0.00,0.00,0.00,0.00
2026-02-24,100.0,0.0,0.0,0.0,0.0,0.0,"158,147.87",0.00,0.00,0.00,0.00,0.00
2026-02-17,99.3,0.7,0.0,0.0,0.0,0.0,"157,043.75","1,104.12",0.00,0.00,0.00,0.00
2026-02-10,99.3,0.7,0.0,0.0,0.0,0.0,"157,042.91","1,104.96",0.00,0.00,0.00,0.00
2026-02-03,99.3,0.7,0.0,0.0,0.0,0.0,"157,042.91","1,104.96",0.00,0.00,0.00,0.00
2026-01-27,100.0,0.0,0.0,0.0,0.0,0.0,"158,147.87",0.00,0.00,0.00,0.00,0.00
2026-01-20,100.0,0.0,0.0,0.0,0.0,0.0,"158,147.87",0.00,0.00,0.00,0.00,0.00
2026-01-13,100.0,0.0,0.0,0.0,0.0,0.0,"158,147.87",0.00,0.00,0.00,0.00,0.00
2026-01-06,100.0,0.0,0.0,0.0,0.0,0.0,"158,147.87",0.00,0.00,0.00,0.00,0.00
2025-12-30,97.19,2.81,0.0,0.0,0.0,0.0,"153,705.15","4,442.72",0.00,0.00,0.00,0.00
2025-12-23,88.31,11.69,0.0,0.0,0.0,0.0,"139,656.50","18,491.38",0.00,0.00,0.00,0.00
2025-12-16,88.31,11.69,0.0,0.0,0.0,0.0,"139,656.50","18,491.38",0.00,0.00,0.00,0.00
2025-12-09,91.1,8.9,0.0,0.0,0.0,0.0,"144,070.47","14,077.40",0.00,0.00,0.00,0.00
2025-12-02,83.36,16.64,0.15,0.0,0.0,0.0,"131,836.69","26,311.18",232.62,0.00,0.00,0.00
2025-11-25,81.01,18.99,6.53,0.15,0.0,0.0,"128,119.15","30,028.72","10,321.85",232.09,0.00,0.00
2025-11-18,70.12,29.88,14.86,0.69,0.0,0.0,"110,900.51","47,247.36","23,493.44","1,096.12",0.00,0.00
2025-11-11,49.04,50.96,31.86,9.58,0.0,0.0,"77,560.59","80,587.28","50,388.94","15,157.90",0.00,0.00
2025-11-04,49.05,50.95,31.83,9.58,0.0,0.0,"77,571.53","80,576.34","50,331.82","15,157.90",0.00,0.00
2025-10-28,47.18,52.82,31.83,9.58,1.1,0.0,"74,621.87","83,526.00","50,331.82","15,157.90","1,744.85",0.00
2025-10-21,42.78,57.22,32.14,9.58,1.1,0.0,"67,662.61","90,485.26","50,828.83","15,157.90","1,744.85",0.00
2025-10-14,27.3,72.7,38.52,15.64,1.25,0.0,"43,173.00","114,974.87","60,917.49","24,735.20","1,974.45",0.00
2025-10-07,27.2,72.8,38.52,15.64,1.25,0.0,"43,018.37","115,129.51","60,917.49","24,738.72","1,974.45",0.00
2025-09-30,26.78,73.22,38.52,18.61,1.25,0.0,"42,348.68","115,799.19","60,917.37","29,429.69","1,974.45",0.00
2025-09-23,26.78,73.22,38.52,18.85,1.25,0.0,"42,348.68","115,799.19","60,917.37","29,813.14","1,974.45",0.00
2025-09-16,26.78,73.22,39.56,23.0,3.49,0.0,"42,348.68","115,799.19","62,557.10","36,377.87","5,517.84",0.00
2025-09-09,23.99,76.01,39.56,23.0,3.88,0.0,"37,938.10","120,209.77","62,557.10","36,377.87","6,140.11",0.00
2025-09-02,23.99,76.01,39.56,23.01,4.7,0.0,"37,937.73","120,210.14","62,557.10","36,385.64","7,440.81",0.00
2025-08-26,23.99,76.01,39.56,23.01,5.9,0.1,"37,937.73","120,210.14","62,557.10","36,385.64","9,329.39",162.44
2025-08-19,23.99,76.01,39.56,23.01,5.9,0.1,"37,937.73","120,210.14","62,557.10","36,385.64","9,329.39",162.44
2025-08-12,23.98,76.02,39.56,23.01,5.9,0.1,"37,925.60","120,222.27","62,557.10","36,385.64","9,329.39",162.44
2025-08-05,23.98,76.02,39.56,23.01,5.9,0.1,"37,925.60","120,222.27","62,557.10","36,385.64","9,329.39",162.44
2025-07-29,23.98,76.02,39.56,23.01,5.9,0.1,"37,925.60","120,222.27","62,557.10","36,385.64","9,329.39",162.44
2025-07-22,23.98,76.02,39.56,23.01,5.9,0.1,"37,925.60","120,222.27","62,557.10","36,385.64","9,329.39",162.44
2025-07-15,23.98,76.02,39.56,23.01,5.9,0.1,"37,925.85","120,222.02","62,557.10","36,385.64","9,329.39",162.44
2025-07-08,23.99,76.01,39.27,23.01,5.9,0.1,"37,937.91","120,209.96","62,100.48","36,385.64","9,329.39",162.44
2025-07-01,32.19,67.81,39.29,22.98,5.91,0.1,"50,912.41","107,235.46","62,131.10","36,348.53","9,350.99",162.44
2025-06-24,32.17,67.83,39.29,22.98,5.91,0.1,"50,881.99","107,265.88","62,131.10","36,348.53","9,350.99",162.44
2025-06-17,37.73,62.27,39.29,22.98,5.91,0.1,"59,666.13","98,481.74","62,131.10","36,348.53","9,350.99",162.44
2025-06-10,39.01,60.99,39.29,22.98,5.91,0.1,"61,689.91","96,457.97","62,131.10","36,348.53","9,350.99",162.44
2025-06-03,39.01,60.99,39.81,24.73,7.11,0.1,"61,689.04","96,458.83","62,956.92","39,112.23","11,241.69",162.44
2025-05-27,40.22,59.78,39.81,24.73,7.11,0.1,"63,606.04","94,541.83","62,956.92","39,112.23","11,237.54",162.44
2025-05-20,41.86,58.14,39.81,24.73,7.11,0.1,"66,196.76","91,951.11","62,956.92","39,112.23","11,237.54",162.44
2025-05-13,41.86,58.14,39.81,24.73,7.11,0.1,"66,196.76","91,951.11","62,956.92","39,112.23","11,237.54",162.44
2025-05-06,43.73,56.27,39.81,24.73,8.3,0.1,"69,154.51","88,993.36","62,956.92","39,112.23","13,127.17",162.44
2025-04-29,43.73,56.27,39.81,24.73,8.3,0.73,"69,163.23","88,984.64","62,956.92","39,109.49","13,127.17","1,160.64"
2025-04-22,43.66,56.34,39.81,24.73,8.3,0.73,"69,045.05","89,102.82","62,956.92","39,109.49","13,127.17","1,160.64"
2025-04-15,43.71,56.29,39.81,24.73,8.3,0.73,"69,119.60","89,028.27","62,956.92","39,109.49","13,127.17","1,160.64"
2025-04-08,43.71,56.29,39.81,24.73,8.3,0.73,"69,119.60","89,028.27","62,956.92","39,109.49","13,127.17","1,160.64"
2025-04-01,43.71,56.29,39.81,24.73,11.77,0.73,"69,119.60","89,028.27","62,956.92","39,109.49","18,606.17","1,160.64"
2025-03-25,43.71,56.29,39.81,24.73,11.76,0.73,"69,119.60","89,028.27","62,956.92","39,109.49","18,597.64","1,160.64"
2025-03-18,42.9,57.1,39.81,24.73,11.76,0.73,"67,848.73","90,299.15","62,956.92","39,109.49","18,597.64","1,160.64"
2025-03-11,41.78,58.22,41.58,24.83,14.75,0.73,"66,069.09","92,078.78","65,752.64","39,272.82","23,328.70","1,160.64"
2025-03-04,41.82,58.18,41.58,24.83,14.75,0.73,"66,131.25","92,016.62","65,752.64","39,272.82","23,328.70","1,160.64"
2025-02-25,41.82,58.18,41.58,24.83,14.75,0.0,"66,131.25","92,016.62","65,752.64","39,272.82","23,328.70",0.00
2025-02-18,41.82,58.18,41.58,24.83,14.75,0.0,"66,131.25","92,016.62","65,752.64","39,272.82","23,328.70",0.00
2025-02-11,33.22,66.78,54.31,34.66,21.21,0.0,"52,529.27","105,618.60","85,890.17","54,809.52","33,543.79",0.00
2025-02-04,33.22,66.78,54.31,34.66,21.21,0.0,"52,529.27","105,618.60","85,890.17","54,809.52","33,543.79",0.00
2025-01-28,33.22,66.78,54.31,32.86,11.88,0.0,"52,529.27","105,618.60","85,890.17","51,966.86","18,786.63",0.00
2025-01-21,33.22,66.78,39.39,32.86,11.9,0.0,"52,529.27","105,618.60","62,289.59","51,966.86","18,820.63",0.00
2025-01-14,39.11,60.89,35.93,26.95,1.06,0.0,"61,847.67","96,300.21","56,819.03","42,615.99","1,683.31",0.00
2025-01-07,39.11,60.89,35.93,10.43,1.06,0.0,"61,847.67","96,300.21","56,819.03","16,496.52","1,683.31",0.00
2024-12-31,40.9,59.1,31.52,5.7,1.06,0.0,"64,689.77","93,458.11","49,841.13","9,010.59","1,683.31",0.00
2024-12-24,43.49,56.51,16.72,5.7,1.03,0.0,"68,773.87","89,374.01","26,448.66","9,010.59","1,623.68",0.00
2024-12-17,43.49,56.51,16.72,5.7,1.03,0.0,"68,773.87","89,374.01","26,448.66","9,010.59","1,623.68",0.00
2024-12-10,43.46,56.54,16.72,5.7,1.03,0.0,"68,725.80","89,422.07","26,448.66","9,010.59","1,623.68",0.00
2024-12-03,56.78,43.22,16.72,5.7,1.03,0.0,"89,790.73","68,357.14","26,448.66","9,010.59","1,623.68",0.00
2024-11-26,56.09,43.91,16.72,5.7,1.03,0.0,"88,710.69","69,437.18","26,448.66","9,010.59","1,623.68",0.00
2024-11-19,28.61,71.39,16.88,5.5,0.95,0.0,"45,238.59","112,909.28","26,689.10","8,701.45","1,494.58",0.00
2024-11-12,25.51,74.49,17.0,5.5,0.95,0.0,"40,347.15","117,800.72","26,892.31","8,701.45","1,494.58",0.00
2024-11-05,25.53,74.47,12.26,4.3,0.0,0.0,"40,377.05","117,770.82","19,384.02","6,808.06",0.00,0.00
2024-10-29,25.37,74.63,12.26,4.3,0.0,0.0,"40,122.01","118,025.86","19,389.27","6,808.06",0.00,0.00
2024-10-22,24.68,75.32,14.05,4.3,0.0,0.0,"39,026.99","119,120.88","22,212.98","6,808.06",0.00,0.00
2024-10-15,24.68,75.32,14.05,4.3,0.0,0.0,"39,026.99","119,120.88","22,212.98","6,808.06",0.00,0.00
2024-10-08,24.68,75.32,13.77,1.72,0.0,0.0,"39,026.99","119,120.88","21,783.70","2,715.74",0.00,0.00
2024-10-01,28.4,71.6,10.67,0.08,0.0,0.0,"44,906.50","113,241.37","16,868.31",122.40,0.00,0.00
2024-09-24,28.59,71.41,10.67,0.08,0.0,0.0,"45,210.80","112,937.07","16,868.31",122.40,0.00,0.00
2024-09-17,28.59,71.41,10.67,0.08,0.0,0.0,"45,210.80","112,937.07","16,868.31",122.40,0.00,0.00
2024-09-10,28.59,71.41,10.68,0.08,0.0,0.0,"45,210.80","112,937.07","16,894.20",122.40,0.00,0.00
2024-09-03,45.59,54.41,8.36,0.0,0.0,0.0,"72,095.42","86,052.45","13,229.02",0.00,0.00,0.00
2024-08-27,58.11,41.89,6.91,0.1,0.0,0.0,"91,897.82","66,250.05","10,931.16",154.75,0.00,0.00
2024-08-20,66.59,33.41,6.91,0.1,0.0,0.0,"105,310.09","52,837.78","10,931.16",154.75,0.00,0.00
2024-08-13,77.29,22.71,5.32,0.0,0.0,0.0,"122,227.19","35,920.68","8,408.05",0.00,0.00,0.00
2024-08-06,77.26,22.74,5.32,0.0,0.0,0.0,"122,181.54","35,966.33","8,408.05",0.00,0.00,0.00
2024-07-30,78.78,21.22,4.44,0.0,0.0,0.0,"124,595.99","33,551.89","7,028.37",0.00,0.00,0.00
2024-07-23,78.8,21.2,4.44,0.0,0.0,0.0,"124,612.79","33,535.08","7,028.37",0.00,0.00,0.00
2024-07-16,78.8,21.2,1.62,0.0,0.0,0.0,"124,612.79","33,535.08","2,559.54",0.00,0.00,0.00
2024-07-09,80.72,19.28,0.77,0.0,0.0,0.0,"127,662.52","30,485.35","1,224.60",0.00,0.00,0.00
2024-07-02,94.25,5.75,0.0,0.0,0.0,0.0,"149,054.41","9,093.46",0.00,0.00,0.00,0.00
2024-06-25,97.18,2.82,0.0,0.0,0.0,0.0,"153,684.27","4,463.60",0.00,0.00,0.00,0.00
2024-06-18,98.79,1.21,0.0,0.0,0.0,0.0,"156,227.43","1,920.44",0.00,0.00,0.00,0.00
2024-06-11,98.79,1.21,0.0,0.0,0.0,0.0,"156,227.43","1,920.44",0.00,0.00,0.00,0.00
2024-06-04,98.78,1.22,0.0,0.0,0.0,0.0,"156,212.12","1,935.75",0.00,0.00,0.00,0.00
2024-05-28,98.77,1.23,0.0,0.0,0.0,0.0,"156,209.99","1,937.88",0.00,0.00,0.00,0.00
2024-05-21,98.77,1.23,0.0,0.0,0.0,0.0,"156,209.99","1,937.88",0.00,0.00,0.00,0.00
2024-05-14,98.77,1.23,0.0,0.0,0.0,0.0,"156,200.84","1,947.03",0.00,0.00,0.00,0.00
2024-05-07,97.32,2.68,0.0,0.0,0.0,0.0,"153,909.75","4,238.12",0.00,0.00,0.00,0.00
2024-04-30,97.32,2.68,0.0,0.0,0.0,0.0,"153,909.75","4,238.12",0.00,0.00,0.00,0.00
2024-04-23,97.32,2.68,0.0,0.0,0.0,0.0,"153,909.75","4,238.12",0.00,0.00,0.00,0.00
2024-04-16,97.32,2.68,0.0,0.0,0.0,0.0,"153,903.12","4,244.75",0.00,0.00,0.00,0.00
2024-04-09,97.32,2.68,0.0,0.0,0.0,0.0,"153,903.12","4,244.75",0.00,0.00,0.00,0.00
2024-04-02,95.46,4.54,0.0,0.0,0.0,0.0,"150,961.59","7,186.28",0.00,0.00,0.00,0.00
2024-03-26,95.46,4.54,0.0,0.0,0.0,0.0,"150,961.59","7,186.28",0.00,0.00,0.00,0.00
2024-03-19,95.46,4.54,0.0,0.0,0.0,0.0,"150,961.59","7,186.28",0.00,0.00,0.00,0.00
2024-03-12,95.46,4.54,0.0,0.0,0.0,0.0,"150,961.59","7,186.28",0.00,0.00,0.00,0.00
2024-03-05,95.46,4.54,0.0,0.0,0.0,0.0,"150,961.59","7,186.28",0.00,0.00,0.00,0.00
2024-02-27,92.97,7.03,0.0,0.0,0.0,0.0,"147,025.15","11,122.72",0.00,0.00,0.00,0.00
2024-02-20,92.97,7.03,0.0,0.0,0.0,0.0,"147,025.15","11,122.72",0.00,0.00,0.00,0.00
2024-02-13,92.81,7.19,0.0,0.0,0.0,0.0,"146,780.83","11,367.04",0.00,0.00,0.00,0.00
2024-02-06,92.84,7.16,0.0,0.0,0.0,0.0,"146,827.60","11,320.27",0.00,0.00,0.00,0.00
2024-01-30,90.53,9.47,0.0,0.0,0.0,0.0,"143,165.25","14,982.62",0.00,0.00,0.00,0.00
2024-01-23,96.55,3.45,0.0,0.0,0.0,0.0,"152,693.95","5,453.92",0.00,0.00,0.00,0.00
2024-01-16,96.65,3.35,0.0,0.0,0.0,0.0,"152,849.47","5,298.40",0.00,0.00,0.00,0.00
2024-01-09,96.65,3.35,0.0,0.0,0.0,0.0,"152,849.47","5,298.40",0.00,0.00,0.00,0.00
2024-01-02,96.65,3.35,0.0,0.0,0.0,0.0,"152,849.47","5,298.40",0.00,0.00,0.00,0.00
2023-12-26,96.65,3.35,0.0,0.0,0.0,0.0,"152,849.47","5,298.40",0.00,0.00,0.00,0.00
2023-12-19,96.33,3.67,0.0,0.0,0.0,0.0,"152,348.01","5,799.86",0.00,0.00,0.00,0.00
2023-12-12,96.33,3.67,0.0,0.0,0.0,0.0,"152,348.01","5,799.86",0.00,0.00,0.00,0.00
2023-12-05,96.33,3.67,0.0,0.0,0.0,0.0,"152,348.01","5,799.86",0.00,0.00,0.00,0.00
2023-11-28,95.32,4.68,0.0,0.0,0.0,0.0,"150,751.87","7,396.00",0.00,0.00,0.00,0.00
2023-11-21,95.32,4.68,0.0,0.0,0.0,0.0,"150,751.87","7,396.00",0.00,0.00,0.00,0.00
2023-11-14,95.32,4.68,0.0,0.0,0.0,0.0,"150,747.95","7,399.92",0.00,0.00,0.00,0.00
2023-11-07,94.04,5.96,0.0,0.0,0.0,0.0,"148,719.91","9,427.96",0.00,0.00,0.00,0.00
2023-10-31,94.34,5.66,0.0,0.0,0.0,0.0,"149,190.73","8,957.14",0.00,0.00,0.00,0.00
2023-10-24,94.32,5.68,0.0,0.0,0.0,0.0,"149,165.05","8,982.82",0.00,0.00,0.00,0.00
2023-10-17,94.32,5.68,0.0,0.0,0.0,0.0,"149,165.05","8,982.82",0.00,0.00,0.00,0.00
2023-10-10,93.98,6.02,0.07,0.0,0.0,0.0,"148,635.15","9,512.72",105.57,0.00,0.00,0.00
2023-10-03,94.01,5.99,0.07,0.0,0.0,0.0,"148,668.49","9,479.38",105.57,0.00,0.00,0.00
2023-09-26,94.01,5.99,0.07,0.0,0.0,0.0,"148,668.22","9,479.65",105.57,0.00,0.00,0.00
2023-09-19,93.53,6.47,0.24,0.0,0.0,0.0,"147,913.49","10,234.38",379.22,0.00,0.00,0.00
2023-09-12,93.54,6.46,0.22,0.0,0.0,0.0,"147,924.33","10,223.54",350.70,0.00,0.00,0.00
2023-09-05,93.53,6.47,0.22,0.0,0.0,0.0,"147,914.38","10,233.49",350.70,0.00,0.00,0.00
2023-08-29,93.35,6.65,1.35,0.0,0.0,0.0,"147,625.49","10,522.38","2,139.23",0.00,0.00,0.00
2023-08-22,93.33,6.67,1.38,0.0,0.0,0.0,"147,592.06","10,555.81","2,177.14",0.00,0.00,0.00
2023-08-15,74.56,25.44,7.27,0.0,0.0,0.0,"117,907.48","40,240.39","11,501.64",0.00,0.00,0.00
2023-08-08,74.55,25.45,7.28,0.0,0.0,0.0,"117,896.10","40,251.77","11,508.18",0.00,0.00,0.00
2023-08-01,74.43,25.57,6.52,0.0,0.0,0.0,"117,709.12","40,438.75","10,312.26",0.00,0.00,0.00
2023-07-25,74.43,25.57,6.29,0.0,0.0,0.0,"117,713.81","40,434.06","9,948.11",0.00,0.00,0.00
2023-07-18,74.45,25.55,6.29,0.0,0.0,0.0,"117,740.74","40,407.13","9,948.11",0.00,0.00,0.00
2023-07-11,71.95,28.05,6.29,0.0,0.0,0.0,"113,790.05","44,357.82","9,948.11",0.00,0.00,0.00
2023-07-04,71.95,28.05,4.63,0.0,0.0,0.0,"113,787.79","44,360.08","7,323.68",0.00,0.00,0.00
2023-06-27,71.88,28.12,4.63,0.0,0.0,0.0,"113,674.90","44,472.97","7,323.68",0.00,0.00,0.00
2023-06-20,72.32,27.68,4.63,0.0,0.0,0.0,"114,374.59","43,773.28","7,323.68",0.00,0.00,0.00
2023-06-13,72.32,27.68,4.63,0.0,0.0,0.0,"114,374.59","43,773.28","7,323.68",0.00,0.00,0.00
2023-06-06,70.88,29.12,4.63,0.0,0.0,0.0,"112,089.87","46,058.01","7,323.68",0.00,0.00,0.00
2023-05-30,70.88,29.12,4.63,0.0,0.0,0.0,"112,099.85","46,048.02","7,323.68",0.00,0.00,0.00
2023-05-23,70.86,29.14,4.63,0.0,0.0,0.0,"112,067.14","46,080.73","7,323.68",0.00,0.00,0.00
2023-05-16,68.02,31.98,5.95,0.0,0.0,0.0,"107,574.46","50,573.41","9,405.89",0.00,0.00,0.00
2023-05-09,68.02,31.98,5.95,0.0,0.0,0.0,"107,574.46","50,573.41","9,405.89",0.00,0.00,0.00
2023-05-02,68.04,31.96,7.98,0.0,0.0,0.0,"107,598.48","50,549.39","12,622.77",0.34,0.00,0.00
2023-04-25,68.04,31.96,7.98,0.0,0.0,0.0,"107,598.48","50,549.39","12,622.77",0.34,0.00,0.00
2023-04-18,65.67,34.33,8.79,0.0,0.0,0.0,"103,849.63","54,298.24","13,894.05",0.34,0.00,0.00
2023-04-11,65.67,34.33,8.79,0.0,0.0,0.0,"103,849.63","54,298.24","13,894.05",0.34,0.00,0.00
2023-04-04,56.17,43.83,24.86,0.82,0.0,0.0,"88,826.50","69,321.37","39,313.28","1,292.77",0.00,0.00
2023-03-28,55.34,44.66,28.11,1.95,0.0,0.0,"87,517.27","70,630.60","44,462.39","3,077.88",0.00,0.00
2023-03-21,48.51,51.49,35.88,8.49,0.0,0.0,"76,724.22","81,423.65","56,741.64","13,428.45",0.00,0.00
2023-03-14,44.66,55.34,36.42,8.49,0.0,0.0,"70,630.82","87,517.05","57,596.21","13,428.45",0.00,0.00
2023-03-07,26.84,73.16,43.06,19.0,0.0,0.0,"42,450.95","115,696.92","68,101.55","30,047.80",0.00,0.00
2023-02-28,16.71,83.29,49.13,24.96,0.0,0.0,"26,422.02","131,725.86","77,693.81","39,471.37",0.00,0.00
2023-02-21,0.61,99.39,84.6,32.62,0.0,0.0,958.59,"157,189.28","133,787.93","51,586.19",0.00,0.00
2023-02-14,0.64,99.36,84.6,32.62,0.0,0.0,"1,011.95","157,135.92","133,787.93","51,586.19",0.00,0.00
2023-02-07,0.64,99.36,84.6,32.62,0.0,0.0,"1,012.74","157,135.13","133,787.75","51,586.19",0.00,0.00
2023-01-31,0.64,99.36,89.56,32.57,0.0,0.0,"1,012.74","157,135.13","141,640.34","51,509.75",0.00,0.00
2023-01-24,0.64,99.36,89.56,32.57,0.0,0.0,"1,012.74","157,135.13","141,640.34","51,509.75",0.00,0.00
2023-01-17,0.64,99.36,92.12,42.84,0.0,0.0,"1,012.74","157,135.13","145,678.47","67,751.17",0.00,0.00
2023-01-10,0.0,100.0,95.38,46.0,0.32,0.0,0.00,"158,147.87","150,844.45","72,747.85",512.32,0.00
2023-01-03,0.0,100.0,97.93,71.14,27.1,0.0,0.00,"158,147.87","154,878.81","112,511.38","42,858.70",0.00
2022-12-27,0.0,100.0,97.94,80.56,35.5,7.16,0.00,"158,147.87","154,883.58","127,403.88","56,135.14","11,329.51"
2022-12-20,0.0,100.0,97.94,80.56,35.5,7.16,0.00,"158,147.87","154,883.58","127,403.88","56,135.14","11,329.51"
2022-12-13,0.0,100.0,97.94,80.56,35.5,7.16,0.00,"158,147.87","154,883.58","127,403.88","56,135.14","11,329.51"
2022-12-06,0.0,100.0,99.48,84.97,40.08,12.73,0.42,"158,147.45","157,324.03","134,375.16","63,378.80","20,131.16"
2022-11-29,0.0,100.0,99.48,84.97,40.92,12.73,0.13,"158,147.75","157,324.03","134,375.16","64,709.33","20,131.16"
2022-11-22,0.0,100.0,99.48,84.97,40.92,12.73,0.06,"158,147.81","157,327.44","134,375.16","64,709.33","20,131.16"
2022-11-15,0.0,100.0,99.48,84.97,40.92,12.73,0.06,"158,147.81","157,327.44","134,375.16","64,709.33","20,136.11"
2022-11-08,0.0,100.0,99.51,88.09,41.39,16.57,0.06,"158,147.81","157,377.60","139,306.11","65,462.39","26,200.91"
2022-11-01,0.0,100.0,99.77,91.83,43.06,16.57,0.06,"158,147.81","157,778.60","145,221.10","68,103.49","26,200.91"
2022-10-25,0.0,100.0,99.77,91.83,43.06,16.57,0.06,"158,147.81","157,777.80","145,221.10","68,103.49","26,200.91"
